id,week_start,week_end,week_int_start,week_int_end
1,2018-05-20,2018-06-02,2018-06-03,2018-06-09
2,2018-06-03,2018-06-16,2018-06-17,2018-06-23
3,2018-06-17,2018-06-30,2018-07-01,2018-07-07
4,2018-07-01,2018-07-14,2018-07-15,2018-07-21
5,2018-07-15,2018-07-28,2018-07-29,2018-08-04
6,2018-07-29,2018-08-11,2018-08-12,2018-08-18
7,2018-08-12,2018-08-25,2018-08-26,2018-09-01
8,2018-08-26,2018-09-08,2018-09-09,2018-09-15
9,2018-09-09,2018-09-22,2018-09-23,2018-09-29
10,2018-09-23,2018-10-06,2018-10-07,2018-10-13
11,2018-10-07,2018-10-20,2018-10-21,2018-10-27
12,2018-10-21,2018-11-03,2018-11-04,2018-11-10
13,2018-11-04,2018-11-17,2018-11-18,2018-11-24
14,2018-11-18,2018-12-01,2018-12-02,2018-12-08
15,2018-12-02,2018-12-15,2018-12-16,2018-12-22
16,2018-12-16,2018-12-29,2018-12-30,2019-01-05
17,2018-12-30,2019-01-12,2019-01-13,2019-01-19
18,2019-01-13,2019-01-26,2019-01-27,2019-02-02
19,2019-01-27,2019-02-09,2019-02-10,2019-02-16
20,2019-02-10,2019-02-23,2019-02-24,2019-03-02
21,2019-02-24,2019-03-09,2019-03-10,2019-03-16
22,2019-03-10,2019-03-23,2019-03-24,2019-03-30
23,2019-03-24,2019-04-06,2019-04-07,2019-04-13
24,2019-04-07,2019-04-20,2019-04-21,2019-04-27
25,2019-04-21,2019-05-04,2019-05-05,2019-05-11
26,2019-05-05,2019-05-18,2019-05-19,2019-05-25
27,2019-05-19,2019-06-01,2019-06-02,2019-06-08
28,2019-06-02,2019-06-15,2019-06-16,2019-06-22
29,2019-06-16,2019-06-29,2019-06-30,2019-07-06
30,2019-06-30,2019-07-13,2019-07-14,2019-07-20
31,2019-07-14,2019-07-27,2019-07-28,2019-08-03
32,2019-07-28,2019-08-10,2019-08-11,2019-08-17
33,2019-08-11,2019-08-24,2019-08-25,2019-08-31
34,2019-08-25,2019-09-07,2019-09-08,2019-09-14
35,2019-09-08,2019-09-21,2019-09-22,2019-09-28
36,2019-09-22,2019-10-05,2019-10-06,2019-10-12
37,2019-10-06,2019-10-19,2019-10-20,2019-10-26
38,2019-10-20,2019-11-02,2019-11-03,2019-11-09
39,2019-11-03,2019-11-16,2019-11-17,2019-11-23
40,2019-11-17,2019-11-30,2019-12-01,2019-12-07
41,2019-12-01,2019-12-14,2019-12-15,2019-12-21
42,2019-12-15,2019-12-28,2019-12-29,2020-01-04
43,2019-12-29,2020-01-11,2020-01-12,2020-01-18
